uid,CAS No.,SMILES,Toxicity (mg/L),species,cid,Canonical_Smiles
16,38641-94-0,C(NCC(O)=O)P(O)(=O)O.C(C)(C)N,2.0,LP,16,Multiple non-salt/solvate components
22,76738-62-0,n1c[n@]([C@@H]([C@H](C(C)(C)C)O)Cc2ccc(cc2)Cl)nc1.n1c[n@](nc1)[C@H]([C@@H](C(C)(C)C)O)Cc1ccc(cc1)Cl,23.6,LP,22,Multiple non-salt/solvate components
35,137-30-4,[Zn+2].S=C([S-])N(C)C.[S-]C(=S)N(C)C,0.0009699999999999999,LP,35,Multiple non-salt/solvate components
65,10380-28-6,c1c2cccc([O-])c2ncc1.[Cu+2].c1c2c(ncc1)c(ccc2)[O-],0.24,LP,65,Multiple non-salt/solvate components
244,8018/1/7,[Mn+2].[Zn+2].[S-]C(=S)NCCNC(=S)[S-].[S-]C(=S)NCCNC([S-])=S,0.07400000000000001,RT,244,Multiple non-salt/solvate components
373,874967-67-6,Cn1cc(c(n1)C(F)F)C(=O)Nc2ccccc2C3CC3C4CC4.Cn1cc(c(n1)C(F)F)C(=O)Nc2ccccc2C3CC3C4CC4.Cn1cc(c(n1)C(F)F)C(=O)Nc2ccccc2C3CC3C4CC4.Cn1cc(c(n1)C(F)F)C(=O)Nc2ccccc2C3CC3C4CC4,1.1,RT,373,Multiple non-salt/solvate components
475,99257-43-9,N(CCCCCCCCNC(=N)N)CCCCCCCCNC(=N)N.c1(c(cccc1)CCCCCCCCCCCC)S(=O)(=O)O.c1(c(cccc1)CCCCCCCCCCCC)S(=O)(=O)O.c1(c(cccc1)CCCCCCCCCCCC)S(=O)(=O)O,4.5,RT,475,Multiple non-salt/solvate components
683,127277-53-6,[Ca+2].O=C1C(=C(\[O-])CC)/C(=O)CC(C(=O)O)C1.[O-]\C(=C1\C(=O)CC(C(=O)O)CC1=O)CC,100.0,RT,683,Multiple non-salt/solvate components
717,81405-85-8,COC(=O)c1cc(C)ccc1C=2NC(=O)C(C)(N=2)C(C)C.COC(=O)c1ccc(C)cc1C=2NC(=O)C(C)(N=2)C(C)C,100.0,RT,717,Multiple non-salt/solvate components
806,81591-81-3,O=C([O-])CNCP(=O)(O)O.[S+](C)(C)C,1800.0,RT,806,Multiple non-salt/solvate components
